iter	Passed	Remaining
0	171	171260
1	189	94456
2	220	73373
3	248	61990
4	282	56266
5	298	49410
6	326	46332
7	349	43332
8	363	40068
9	394	39104
10	429	38620
11	456	37549
12	483	36743
13	503	35438
14	533	35005
15	556	34198
16	573	33133
17	591	32262
18	609	31452
19	635	31116
20	653	30466
21	663	29502
22	685	29133
23	715	29103
24	750	29282
25	766	28731
26	801	28891
27	816	28357
28	834	27928
29	852	27557
30	890	27827
31	909	27518
32	938	27494
33	971	27615
34	1001	27605
35	1019	27298
36	1045	27223
37	1064	26949
38	1081	26650
39	1097	26351
40	1117	26146
41	1142	26061
42	1162	25879
43	1182	25684
44	1205	25581
45	1239	25700
46	1255	25448
47	1270	25192
48	1290	25041
49	1317	25030
50	1334	24828
51	1351	24633
52	1372	24517
53	1388	24320
54	1412	24271
55	1430	24118
56	1444	23889
57	1460	23723
58	1477	23557
59	1497	23455
60	1514	23312
61	1532	23179
62	1546	23002
63	1568	22936
64	1586	22824
65	1604	22706
66	1637	22802
67	1662	22781
68	1680	22668
69	1702	22618
70	1728	22622
71	1746	22507
72	1771	22489
73	1798	22501
74	1813	22370
75	1831	22263
76	1852	22202
77	1880	22225
78	1899	22147
79	1919	22074
80	1941	22030
81	1958	21922
82	1984	21919
83	2002	21834
84	2031	21865
85	2051	21808
86	2071	21735
87	2101	21782
88	2129	21800
89	2151	21750
90	2168	21661
91	2193	21650
92	2224	21693
93	2245	21643
94	2264	21570
95	2286	21533
96	2334	21734
97	2353	21663
98	2436	22177
99	2488	22394
100	2505	22301
101	2528	22262
102	2550	22208
103	2570	22142
104	2581	22004
105	2602	21950
106	2625	21908
107	2645	21847
108	2664	21782
109	2683	21713
110	2704	21658
111	2724	21598
112	2735	21474
113	2771	21542
114	2799	21542
115	2831	21575
116	2849	21506
117	2866	21423
118	2885	21365
119	2908	21328
120	2922	21233
121	2949	21227
122	2972	21193
123	2992	21141
124	3013	21093
125	3045	21128
126	3068	21093
127	3087	21036
128	3117	21046
129	3137	20994
130	3150	20899
131	3177	20893
132	3211	20937
133	3222	20826
134	3240	20764
135	3254	20675
136	3279	20661
137	3301	20623
138	3319	20563
139	3336	20498
140	3353	20427
141	3372	20377
142	3391	20324
143	3408	20261
144	3432	20238
145	3459	20234
146	3477	20176
147	3496	20130
148	3524	20127
149	3542	20071
150	3565	20049
151	3608	20129
152	3626	20076
153	3647	20039
154	3668	19997
155	3686	19943
156	3703	19887
157	3720	19828
158	3740	19783
159	3760	19741
160	3781	19704
161	3795	19635
162	3813	19580
163	3829	19519
164	3847	19471
165	3863	19412
166	3883	19372
167	3909	19361
168	3925	19303
169	3943	19253
170	3961	19207
171	3993	19224
172	4012	19181
173	4029	19130
174	4042	19058
175	4055	18988
176	4078	18961
177	4095	18915
178	4112	18861
179	4134	18834
180	4155	18801
181	4173	18757
182	4188	18699
183	4207	18657
184	4223	18605
185	4241	18563
186	4273	18579
187	4298	18565
188	4316	18522
189	4335	18480
190	4367	18500
191	4409	18554
192	4427	18511
193	4448	18481
194	4471	18458
195	4489	18416
196	4507	18372
197	4524	18328
198	4543	18287
199	4563	18254
200	4580	18209
201	4612	18223
202	4634	18195
203	4662	18192
204	4679	18148
205	4700	18115
206	4734	18137
207	4782	18211
208	4812	18213
209	4846	18233
210	4881	18252
211	4898	18207
212	4941	18259
213	4975	18274
214	4998	18251
215	5036	18279
216	5085	18350
217	5115	18348
218	5145	18348
219	5176	18352
220	5192	18301
221	5213	18271
222	5232	18231
223	5256	18211
224	5284	18200
225	5305	18170
226	5333	18162
227	5360	18149
228	5382	18123
229	5401	18082
230	5421	18047
231	5434	17989
232	5465	17990
233	5488	17965
234	5518	17963
235	5554	17982
236	5572	17940
237	5599	17928
238	5620	17897
239	5688	18013
240	5751	18114
241	5812	18205
242	5837	18185
243	5849	18125
244	5873	18099
245	5892	18060
246	5930	18080
247	5951	18046
248	5976	18024
249	6001	18004
250	6024	17976
251	6049	17956
252	6079	17948
253	6092	17894
254	6105	17836
255	6126	17804
256	6144	17764
257	6162	17724
258	6186	17699
259	6207	17667
260	6226	17628
261	6257	17625
262	6278	17595
263	6305	17580
264	6331	17561
265	6354	17534
266	6385	17530
267	6399	17480
268	6414	17430
269	6429	17383
270	6448	17345
271	6471	17319
272	6496	17301
273	6523	17284
274	6554	17278
275	6574	17247
276	6598	17222
277	6616	17184
278	6631	17138
279	6649	17099
280	6668	17063
281	6708	17079
282	6722	17030
283	6743	17000
284	6758	16954
285	6792	16957
286	6814	16928
287	6842	16917
288	6870	16902
289	6891	16872
290	6917	16855
291	6935	16815
292	6964	16804
293	6982	16767
294	7001	16732
295	7019	16694
296	7045	16677
297	7084	16688
298	7106	16660
299	7129	16636
300	7153	16612
301	7179	16594
302	7200	16563
303	7223	16538
304	7236	16488
305	7256	16456
306	7273	16418
307	7290	16380
308	7326	16384
309	7342	16343
310	7367	16322
311	7391	16298
312	7419	16284
313	7438	16249
314	7466	16237
315	7491	16216
316	7522	16207
317	7541	16174
318	7557	16132
319	7572	16091
320	7597	16070
321	7613	16030
